  699  ruby mRemoteOffPwdsDecrypt.rb confCons.xml
  700  sql
  701  my sql
  702  my-sql
  703  service mysql start
  704  mysql -u root
  705  apt-get install mysql
  706  service mysql start
  707  mysql -u root
  708  show databases;
  709  mysql -u root
  710  sudo apt-get install mysql-server
  711  mysql -u root -p
  712  GRANT ALL PRIVILEGES ON *.* TO 'root'@'localhost' IDENTIFIED BY 'root';
  713  mysql -u root -p
  714  mysql -u root 
  715  mysql -u root -p
  716  mysql -u root 
  717  mysql -u root -p
  718  javac MainClient.java
  719  javac RemoteInterface.java
  720  javac RemoteInterface.java
  721  javac RIImplement.java
  722  javac MainServer.java
  723  javac *.java
  724  java MainClient
  725  start rmiregistry
  726  rmic RIImplement
  727  java MainServer
  728  rmiregistry
  729  rmiregistry &
  730  java MainServer
  731  java MainClient
  732  rmiregistry &
  733  java MainServer
  734  javac RemoteInterface.java
  735  javac RIImplement.java
  736  javac MainClient.java
  737  javac MainServer.java.java
  738  javac MainServer.java
  739  rmic RIImplement.java
  740  rmic RIImplement
  741  rmiregistry &
  742  java MainServer
  743  javac *.java
  744  rmic RIImplement
  745  java MainServer
  746  java MainClient
  747  javac MainClient
  748  javac MainClient.java
  749  javac MainClient
  750  javac MainClient.java
  751  javac *.java
  752  rmiregistry &
  753  java MainServer
  754  javac MainClient.java
  755  java MainClient
  756  pwd
  757  touch love.txt
  758  sudo apt-get update
  759  sudo apt-get upgrade
  760  sudo apt-get dist-upgrade
  761  sudo apt-get dist-update
  762  sudo apt-get update
  763  echo -n b355a9e0cd018d3f7f03607141518419 | base64 -d
  764  nmao -sC -sV -oA nma.nmap 10.10.10.140
  765  nmap -sC -sV -oA nmap.nmap 10.10.10.140
  766  pinng 
  767  ping 10.10.10.140
  768  clear
  769  nmap -sC -sV -oA nmap.nmap 10.10.10.140
  770  nmap -Pn 10.10.10.140
  771  nano intial_recon
  772  clear
  773  nmap -sC -sV -oA nmap.nmap 10.10.10.140
  774  cat nmap.nmap.nmap 
  775  gobuster -u http://10.10.10.140/ -w /usr/share/wordlists/dirbuster/directory-list-2.3-medium.txt 
  776  dirbuster
  777  strings -n8 stars-webfont.eot 
  778  strings -n8 android_icons-webfont.eot 
  779  cat android_icons-webfont.eot 
  780  searchsploit magento
  781  msfconsole 
  782  clear
  783  wget http://10.10.10.140/app/etc/local.xml
  784  openvpn DRAKEL.ovpn
  785  ./clearcache..sh
  786  ./clearcache.sh
  787  env
  788  printenv
  789  set
  790  unset
  791  export
  792  import
  793  top
  794  vmstat
  795  uptime
  796  ps
  797  free
  798  iostat
  799  sar
  800  mpstat
  801  pmap
  802  netstat
  803  iptraf
  804  apt-get update
  805  apt-get dist-upgrade
  806  apt-get dist-upgrade --fix-missing
  807  ./clearcache.sh
  808  ./lock.sh
  809  conda install -c spyder-ide spyder=4.0.0b2
  810  conda install pytorch torchvision cudatoolkit=9.0 -c pytorch
  811  ls
  812  ./ Anaconda3-2019.03-Linux-x86_64.sh
  813  .bash/ Anaconda3-2019.03-Linux-x86_64.sh
  814  ./Anaconda3-2019.03-Linux-x86_64.sh
  815  sudo ./Anaconda3-2019.03-Linux-x86_64.sh
  816  pwd
  817  bash ~/Downloads/Anaconda3-2019.03-Linux-x86_64.sh
  818  bash  ~/Downloads/Anaconda3-2019.03-Linux-x86_64.sh
  819  bash ~/Downloads/Anaconda3-2019.03-Linux-x86_64.sh -u
  820  anaconda-navigator
  821  ./clearcache.sh
  822  conda remove opencv
  823  conda install -c menpo opencv
  824  pip install --upgrade pip
  825  pip install opencv-contrib-python
  826  sudo aptitude search libgtk2.0-dev
  827  sudo apt search libgtk2.0-dev
  828  sudo apt install libgtk2.0-dev
  829  apt installlibgtk2.0-dev
  830  apt install libgtk2.0-dev
  831  conda install libgtk2.0-dev
  832  conda install -c conda-forge opencv
  833  pip install imageio-ffmpeg
  834  conda install pytorch torchvision cudatoolkit=9.0 -c pytorch
  835  conda install tensorflow
  836  conda install theano
  837  conda install keras
  838  conda install cv2
  839  conda install opencv
  840  anaconda-navigator
  841  sudo add-apt-repository ppa:kivy-team/kivy
  842  apt-key adv --keyserver keyserver.ubuntu.com --recv-keys A863D2D6
  843  sudo apt-get update
  844  sudo apt-get dist-update
  845  sudo apt-get dist-upgrade
  846  sudo apt-get dist-upgrade --fix-missing
  847  vi sources.list
  848  sudo apt-get update
  849  vi sources.list
  850  sudo apt-get update
  851  anaconda-navigator
  852  apt-get autoremove --purge eclipse
  853  dpkg --list
  854  ./lock.sh
  855  anaconda-navigator
